[TCP] RX serial=C5 src=FE dst=04 code=00 reg=0x00000002 len=2 wlen=0
[TCP] RX serial=AD src=FE dst=04 code=00 reg=0x00000016 len=8 wlen=0
[TCP] RX serial=29 src=FE dst=04 code=00 reg=0x14000000 len=88 wlen=0
[TCP] RX serial=F6 src=FE dst=04 code=00 reg=0x00000006 len=1 wlen=0
[TCP] RX serial=D9 src=FE dst=05 code=00 reg=0x00000002 len=2 wlen=0
[TCP] RX serial=71 src=FE dst=05 code=00 reg=0x00000016 len=8 wlen=0
[TCP] RX serial=EF src=FE dst=05 code=00 reg=0x14000000 len=88 wlen=0
[TCP] RX serial=45 src=FE dst=05 code=00 reg=0x00000006 len=1 wlen=0
[TCP] RX serial=1E src=FE dst=06 code=00 reg=0x00000002 len=2 wlen=0
[TCP] RX serial=90 src=FE dst=06 code=00 reg=0x00000016 len=8 wlen=0
[TCP] RX serial=66 src=FE dst=06 code=00 reg=0x14000000 len=88 wlen=0
[TCP] RX serial=5D src=FE dst=06 code=00 reg=0x00000006 len=1 wlen=0
[TCP] RX serial=6E src=FE dst=07 code=00 reg=0x00000002 len=2 wlen=0
[TCP] RX serial=F1 src=FE dst=07 code=00 reg=0x00000016 len=8 wlen=0
[TCP] RX serial=41 src=FE dst=07 code=00 reg=0x14000000 len=88 wlen=0
[TCP] RX serial=F9 src=FE dst=07 code=00 reg=0x00000006 len=1 wlen=0
